"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Infectious Diseases Salmonella: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-619-1","",0,0,1,0,19,0,0,1,0,0,0,0,21
"Infectious Diseases Sexually Transmitted Diseases: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-535-5","",0,0,0,0,1,14,0,0,0,0,0,0,15
"Microbiology Adenovirus Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-551-5","",0,0,0,0,1,25,0,0,0,0,1,0,27
"Microbiology Adenovirus Methods and Protocols: Volume 1: Adenoviruses, Ad Vectors, Quantitation, and Animal Models","Humana Press","SpringerProtocols","978-1-58829-598-9","",0,0,0,0,0,18,0,1,0,0,0,0,19
"Microbiology Adenovirus Methods and Protocols: Volume 2: Ad Proteins, RNA Lifecycle, Host Interactions, and Phylogenetics","Humana Press","SpringerProtocols","978-1-58829-901-7","",0,0,2,0,0,27,0,0,1,1,0,0,31
"Microbiology Allergy Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-896-7","",0,1,2,4,3,30,1,0,0,1,0,0,42
"Microbiology Antibacterial Peptide Protocols","Humana Press","SpringerProtocols","978-0-89603-408-2","",0,0,0,0,18,18,0,1,0,0,1,1,39
"Microbiology Antibody Phage Display: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-60327-301-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbiology Antibody Phage Display: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-906-3","",2,2,0,3,39,1,1,0,1,1,1,3,54
"Microbiology Bacterial Artificial Chromosomes: Volume 1 Library Construction, Physical Mapping, and Sequencing","Humana Press","SpringerProtocols","978-0-89603-988-9","",1,1,0,1,0,26,0,1,1,2,1,1,35
"Microbiology Bacterial Artificial Chromosomes: Volume 2 Functional Studies","Humana Press","SpringerProtocols","978-0-89603-989-6","",1,5,0,0,0,21,0,0,2,1,1,0,31
"Microbiology Bacterial Pathogenesis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-740-2","",0,0,3,3,26,1,0,0,3,1,0,0,37
"Microbiology Bacteriophages: Methods and Protocols, Volume 1: Isolation, Characterization, and Interactions","Humana Press","SpringerProtocols","978-1-58829-682-5","",1,0,1,3,28,0,0,0,2,0,0,1,36
"Microbiology Bacteriophages: Methods and Protocols, Volume 2 Molecular and Applied Aspects","Humana Press","SpringerProtocols","978-1-60327-564-4","",2,3,1,1,22,10,0,0,0,0,0,0,39
"Microbiology Baculovirus Expression Protocols","Humana Press","SpringerProtocols","978-0-89603-272-9","",1,0,30,0,23,0,0,0,0,0,8,1,63
"Microbiology Baculovirus and Insect Cell Expression Protocols","Humana Press","SpringerProtocols","978-1-58829-537-8","",0,1,4,9,26,2,2,1,3,3,12,2,65
"Microbiology Celiac Disease: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-650-5","",1,0,0,0,0,17,0,0,0,0,0,0,18
"Microbiology Chromatin Protocols","Humana Press","SpringerProtocols","978-0-89603-665-9","",4,2,6,1,1,36,0,1,3,5,1,0,60
"Microbiology Cytomegalovirus Protocols","Humana Press","SpringerProtocols","978-0-89603-749-6","",0,0,0,0,0,10,0,0,0,0,0,0,10
"Microbiology Dendritic Cell Protocols","Humana Press","SpringerProtocols","978-0-89603-584-3","",6,0,0,4,8,42,4,0,0,1,0,0,65
"Microbiology Diagnostic Bacteriology Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-297-2","",0,0,0,0,25,0,2,0,0,0,1,0,28
"Microbiology Diagnostic Bacteriology Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-594-1","",0,1,3,1,1,16,0,1,0,0,0,0,23
"Microbiology Diagnostic Virology Protocols","Humana Press","SpringerProtocols","978-0-89603-479-2","",0,0,0,0,0,26,0,0,0,0,0,0,26
"Microbiology Electroporation Protocols for Microorganisms","Humana Press","SpringerProtocols","978-0-89603-310-8","",2,5,6,2,0,37,4,1,1,5,0,0,63
"Microbiology Environmental Microbiology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-116-5","",2,2,41,0,4,42,0,4,0,1,1,0,97
"Microbiology Environmental Monitoring of Bacteria","Humana Press","SpringerProtocols","978-0-89603-566-9","",0,1,0,2,7,21,0,0,0,0,6,0,37
"Microbiology Food Microbiology Protocols","Humana Press","SpringerProtocols","978-0-89603-867-7","",1,0,0,0,2,45,0,0,0,0,1,2,51
"Microbiology Food-Borne Pathogens: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-465-4","",0,0,0,0,4,21,0,1,1,0,0,1,28
"Microbiology Genomics, Proteomics, and Clinical Bacteriology: Methods and Reviews","Humana Press","SpringerProtocols","978-1-58829-218-6","",1,0,0,2,7,17,0,4,0,3,0,0,34
"Microbiology Glycovirology Protocols","Humana Press","SpringerProtocols","978-1-58829-590-3","",0,0,0,0,14,0,0,0,0,0,0,0,14
"Microbiology Helicobacter pylori Protocols","Humana Press","SpringerProtocols","978-0-89603-381-8","",0,0,0,0,0,24,0,0,2,0,9,0,35
"Microbiology Interferon Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-418-0","",1,0,0,1,0,16,0,0,0,0,0,0,18
"Microbiology Interleukin Protocols","Humana Press","SpringerProtocols","978-0-89603-738-0","",0,1,1,1,0,38,2,0,1,0,0,0,44
"Microbiology Microbial Enzymes and Biotransformations","Humana Press","SpringerProtocols","978-1-58829-253-7","",0,2,18,10,0,18,0,1,1,0,1,0,51
"Microbiology Microbial Processes and Products","Humana Press","SpringerProtocols","978-1-58829-548-4","",0,0,28,1,0,28,0,0,0,1,0,0,58
"Microbiology Mitochondrial DNA: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-972-8","",0,0,0,1,26,2,2,0,1,0,0,0,32
"Microbiology Molecular Bacteriology: Protocols and Clinical Applications","Humana Press","SpringerProtocols","978-0-89603-498-3","",0,0,0,0,0,38,0,1,0,2,0,0,41
"Microbiology Mycobacteria Protocols","Humana Press","SpringerProtocols","978-0-89603-471-6","",0,1,9,16,67,33,0,0,0,1,1,1,129
"Microbiology Mycobacterium tuberculosis Protocols","Humana Press","SpringerProtocols","978-0-89603-776-2","",0,1,0,8,1,24,0,1,0,0,0,0,35
"Microbiology Mycoplasma Protocols","Humana Press","SpringerProtocols","978-0-89603-525-6","",2,0,0,0,34,23,0,0,0,35,0,0,94
"Microbiology PCR Detection of Microbial Pathogens","Humana Press","SpringerProtocols","978-1-58829-049-6","",0,0,0,0,0,22,0,1,0,26,0,1,50
"Microbiology Pesticide Protocols","Humana Press","SpringerProtocols","978-1-58829-410-4","",0,0,0,0,0,35,0,0,0,0,0,0,35
"Microbiology Practical Molecular Virology: Viral Vectors for Gene Expression","Humana Press","SpringerProtocols","978-0-89603-191-3","",0,1,1,0,28,1,1,0,0,0,0,0,32
"Microbiology Protocols in Molecular Parasitology","Humana Press","SpringerProtocols","978-0-89603-239-2","",0,3,3,1,35,0,0,0,0,1,1,1,45
"Microbiology Public Health Microbiology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-117-2","",0,0,0,1,3,53,0,1,1,0,3,0,62
"Microbiology Rotaviruses: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-736-6","",0,0,0,0,0,13,0,0,0,0,0,0,13
"Microbiology SV4 Protocols","Humana Press","SpringerProtocols","978-0-89603-653-6","",0,0,0,0,23,1,0,0,0,0,0,0,24
"Microbiology The ELISA Guidebook","Humana Press","SpringerProtocols","978-1-60327-253-7","",0,0,0,1,21,1,0,0,0,0,3,2,28
"Microbiology The Elisa Guidebook","Humana Press","SpringerProtocols","978-0-89603-950-6","",0,9,7,0,11,0,0,0,0,0,0,0,27
"Microbiology Therapeutic Applications of Ribozymes","Humana Press","SpringerProtocols","978-0-89603-477-8","",0,0,0,2,0,29,0,1,0,0,0,0,32
"Microbiology Vaccinia Virus and Poxvirology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-229-2","",0,0,0,0,0,23,0,1,0,0,0,0,24
"Microbiology Yeast Protocol","Humana Press","SpringerProtocols","978-1-58829-437-1","",37,5,5,18,0,36,8,2,2,7,1,1,122
"Molecular Medicine Adipose Tissue Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-916-1","",1,4,1,0,25,2,0,0,0,1,0,2,36
"Molecular Medicine Aging Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-582-9","",0,1,1,0,0,26,0,0,0,0,0,0,28
"Molecular Medicine Alzheimerrsquos Disease: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-737-3","",1,0,0,2,0,27,0,0,1,0,0,0,31
"Molecular Medicine Angiotensin Protocols","Humana Press","SpringerProtocols","978-0-89603-763-2","",0,0,0,1,0,34,1,5,0,1,0,0,42
"Molecular Medicine Anticoagulants, Antiplatelets, and Thrombolytics","Humana Press","SpringerProtocols","978-1-58829-083-0","",0,0,1,17,0,17,0,0,0,0,0,0,35
"Molecular Medicine Arthritis Research: Methods and Protocols Volume 1","Humana Press","SpringerProtocols","978-1-58829-344-2","",0,3,0,2,1,28,1,2,0,0,0,1,38
"Molecular Medicine Arthritis Research: Methods and Protocols Volume 2","Humana Press","SpringerProtocols","978-1-58829-918-5","",1,0,1,0,2,28,1,2,2,0,0,0,37
"Molecular Medicine Asthma: Mechanisms and Protocols","Humana Press","SpringerProtocols","978-0-89603-626-0","",1,6,0,1,0,30,0,0,0,0,1,0,39
"Molecular Medicine Atherosclerosis: Experimental Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-751-9","",0,1,0,2,1,22,0,0,0,1,0,0,27
"Molecular Medicine Auditory and Vestibular Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-62-6","",1,2,0,4,27,4,2,4,3,0,3,0,50
"Molecular Medicine Biological Aging: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-658-0","",1,0,2,1,31,2,1,1,1,0,2,0,42
"Molecular Medicine Bone Research Protocols","Humana Press","SpringerProtocols","978-1-58829-044-1","",15,1,0,1,1,30,0,5,0,0,0,0,53
"Molecular Medicine Cardiovascular Disease: Methods and Protocols Volume 1: Genetics","Humana Press","SpringerProtocols","978-1-58829-572-9","",0,0,0,16,0,15,0,0,0,0,0,0,31
"Molecular Medicine Cardiovascular Disease: Methods and Protocols Volume 2: Molecular Medicine","Humana Press","SpringerProtocols","978-1-58829-892-8","",1,4,0,25,1,24,2,0,1,1,0,0,59
"Molecular Medicine Cardiovascular Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-535-4","",0,0,0,32,33,1,0,1,2,34,0,0,103
"Molecular Medicine Cartilage and Osteoarthritis: Volume 1: Cellular and Molecular Tools","Humana Press","SpringerProtocols","978-1-58829-247-6","",0,0,0,0,0,22,0,0,1,0,0,0,23
"Molecular Medicine Cartilage and Osteoarthritis: Volume 2: Structure and In Vivo Analysis","Humana Press","SpringerProtocols","978-1-58829-505-7","",0,0,1,0,0,17,1,0,0,0,0,0,19
"Molecular Medicine Clinical Epidemiology: Practice and Methods","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Molecular Medicine Congenital Heart Disease: Molecular Diagnostics","Humana Press","SpringerProtocols","978-1-58829-375-6","",0,0,0,18,0,16,0,0,0,0,0,0,34
"Molecular Medicine Cystic Fibrosis Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-897-4","",6,0,2,0,3,40,0,0,0,1,0,0,52
"Molecular Medicine Developmental Hematopoiesis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-296-4","",1,0,2,0,0,29,0,0,0,2,10,4,48
"Molecular Medicine Diabetes Mellitus: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-148-6","",2,0,2,0,1,19,2,0,2,0,0,0,28
"Molecular Medicine Epithelial Cell Culture Protocols","Humana Press","SpringerProtocols","978-0-89603-893-6","",0,0,2,0,34,5,3,1,4,35,1,0,85
"Molecular Medicine Fibrosis Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-479-1","",2,6,0,0,1,26,2,0,1,0,0,1,39
"Molecular Medicine Hematologic Malignancies: Methods and Techniques","Humana Press","SpringerProtocols","978-0-89603-543-0","",0,0,0,0,0,16,0,0,1,0,0,0,17
"Molecular Medicine Hemoglobin Disorders: Molecular Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-962-9","",0,0,0,0,0,16,0,0,0,0,0,0,16
"Molecular Medicine Hemostasis and Thrombosis Protocols","Humana Press","SpringerProtocols","978-0-89603-419-8","",0,0,0,4,4,35,0,0,0,0,0,0,43
"Molecular Medicine Hepatocyte Transplantation: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,2,17,0,1,1,0,0,0,0,21
"Molecular Medicine Human Airway Inflammation: Sampling Techniques and Analytical Protocols","Humana Press","SpringerProtocols","978-0-89603-923-0","",0,1,6,0,0,33,1,1,0,1,0,0,43
"Molecular Medicine Hypertension: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-323-7","",0,0,0,1,0,32,2,0,0,0,0,0,35
"Molecular Medicine Kidney Research: Experimental Protocols","Humana Press","SpringerProtocols","978-1-58829-945-1","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Molecular Medicine Molecular Cardiology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-363-3","",4,0,0,22,0,24,0,0,0,0,1,0,51
"Molecular Medicine Molecular Diagnosis of Genetic Diseases - 1","Humana Press","SpringerProtocols","978-0-89603-346-7","",1,0,0,0,0,20,0,0,0,0,0,0,21
"Molecular Medicine Molecular Endocrinology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-377-0","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Molecular Medicine Molecular Motors: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-665-8","",1,0,0,0,18,1,0,0,0,16,0,0,36
"Molecular Medicine Molecular Pathology Protocols","Humana Press","SpringerProtocols","978-0-89603-681-9","",0,0,0,1,0,35,0,0,0,0,2,0,38
"Molecular Medicine Molecular Pathology of the Prions","Humana Press","SpringerProtocols","978-0-89603-924-7","",0,0,0,0,0,14,0,0,0,0,0,0,14
"Molecular Medicine Muscular Dystrophy: Methods Protocols","Humana Press","SpringerProtocols","978-0-89603-695-6","",0,0,0,0,0,25,0,0,0,0,0,0,25
"Molecular Medicine Osteoporosis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-828-7","",4,2,0,1,25,3,1,1,3,4,2,0,46
"Molecular Medicine Pain Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-103-5","",1,8,1,2,0,21,1,2,0,0,0,0,36
"Molecular Medicine Parkinsonrsquos Disease: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-761-8","",0,2,2,0,0,21,0,0,0,0,0,0,25
"Molecular Medicine Pediatric Hematology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-043-4","",0,0,0,0,0,15,0,0,0,0,0,0,15
"Molecular Medicine Placenta and Trophoblast: Methods and Protocols Volume 1","Humana Press","SpringerProtocols","978-1-58829-404-3","",0,0,1,0,0,32,1,1,1,0,2,3,41
"Molecular Medicine Placenta and Trophoblast: Methods and Protocols Volume 2","Humana Press","SpringerProtocols","978-1-58829-608-5","",0,1,1,0,0,30,5,0,0,0,0,0,37
"Molecular Medicine Platelets and Megakaryocytes: Volume 1: Functional Assays","Humana Press","SpringerProtocols","978-1-58829-101-1","",0,0,0,3,28,0,0,0,0,0,0,0,31
"Molecular Medicine Platelets and Megakaryocytes: Volume 2: Perspectives and Techniques","Humana Press","SpringerProtocols","978-1-58829-011-3","",0,0,0,1,30,0,1,1,0,0,1,0,34
"Molecular Medicine Prenatal Diagnosis","Humana Press","SpringerProtocols","978-1-58829-803-4","",0,0,1,0,26,0,0,0,0,0,0,0,27
"Molecular Medicine Renal Disease: Techniques and Protocols","Humana Press","SpringerProtocols","978-1-58829-134-9","",4,1,0,0,0,32,0,0,0,1,0,1,39
"Molecular Medicine Retinoid Protocols","Humana Press","SpringerProtocols","978-0-89603-438-9","",0,0,2,2,24,0,0,1,0,0,0,0,29
"Molecular Medicine Septic Shock Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-730-4","",1,2,1,0,0,18,0,0,0,3,0,0,25
"Molecular Medicine Thyroid Hormone Receptors: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-995-7","",0,0,0,0,11,0,0,0,0,0,0,0,11
"Molecular Medicine Type 2 Diabetes: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-15-2","",0,0,0,0,0,0,0,0,1,0,0,0,1
"Molecular Medicine Vascular Biology Protocols","Humana Press","SpringerProtocols","978-1-58829-574-3","",3,1,0,1,1,24,0,0,0,8,0,0,38
"Molecular Medicine Vascular Disease: Molecular Biology and Gene Therapy Protocols","Humana Press","SpringerProtocols","978-0-89603-731-1","",1,2,0,0,4,35,1,1,0,1,0,0,45
"Molecular Medicine Vision Research Protocols","Humana Press","SpringerProtocols","978-0-89603-837-0","",1,1,1,0,2,15,1,0,0,0,0,0,21
"Molecular Medicine Wound Healing: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-999-5","",0,5,0,0,3,34,7,0,0,1,1,0,51
"Neuroscience Adrenergic Receptor Protocols","Humana Press","SpringerProtocols","978-0-89603-602-4","",0,0,5,0,0,36,1,0,0,0,0,1,43
"Neuroscience Amines and Their Metabolites","Humana Press","SpringerProtocols","978-0-89603-076-3","",0,1,0,0,0,11,0,0,0,0,0,0,12
"Neuroscience Amino Acids","Humana Press","SpringerProtocols","978-0-89603-077-0","",0,0,1,0,0,10,1,0,0,1,0,0,13
"Neuroscience Analysis of Psychiatric Drugs","Humana Press","SpringerProtocols","978-0-89603-121-0","",0,0,0,0,0,12,0,0,1,0,1,0,14
"Neuroscience Animal Models in Psychiatry, I","Humana Press","SpringerProtocols","978-0-89603-198-2","",0,0,0,1,0,10,0,1,1,0,0,0,13
"Neuroscience Animal Models in Psychiatry, II","Humana Press","SpringerProtocols","978-0-89603-177-7","",1,0,0,0,0,11,0,0,3,0,0,0,15
"Neuroscience Animal Models of Drug Addiction","Humana Press","SpringerProtocols","978-0-89603-217-0","",2,0,0,0,0,11,0,0,0,0,0,0,13
"Neuroscience Animal Models of Epilepsy: Methods and Innovations","Humana Press","SpringerProtocols","978-1-60327-262-9","",0,0,0,0,0,0,0,1,0,0,0,0,1
"Neuroscience Animal Models of Neurological Disease, I: Neurodegenerative Diseases","Humana Press","SpringerProtocols","978-0-89603-208-8","",0,0,0,0,0,9,0,0,0,0,0,0,9
"Neuroscience Animal Models of Neurological Disease, II: Metabolic Encephalopathies and the Epilepsies","Humana Press","SpringerProtocols","978-0-89603-211-8","",0,0,0,0,0,11,0,0,0,0,0,0,11
"Neuroscience Apoptosis Techniques and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-451-8","",0,1,0,0,0,14,0,0,0,0,1,0,16
"Neuroscience Apoptosis Techniques and Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-012-0","",0,0,0,0,0,11,0,0,0,0,0,0,11
"Neuroscience Calcium Measurement Methods","Humana Press","SpringerProtocols","978-1-60761-475-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroscience Calpain Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-632-1","",0,1,0,2,0,36,0,0,0,0,0,0,39
"Neuroscience Carbohydrates and Energy Metabolism","Humana Press","SpringerProtocols","978-0-89603-143-2","",2,1,0,0,3,9,0,0,1,1,2,1,20
"Neuroscience Cell Neurobiology Techniques","Humana Press","SpringerProtocols","978-0-89603-510-2","",1,1,0,0,1,11,0,0,0,0,2,0,16
"Neuroscience Drug Delivery to the Central Nervous System","Humana Press","SpringerProtocols","978-1-60761-528-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroscience Drugs as Tools in Neurotransmitter Research","Humana Press","SpringerProtocols","978-0-89603-122-7","",0,0,0,0,0,11,0,1,0,0,0,0,12
"Neuroscience G Protein Methods and Protocols: Role of G Proteins in Psychiatric and Neurologica1 Disorders","Humana Press","SpringerProtocols","978-0-89603-490-7","",0,0,0,0,0,16,0,0,2,0,0,0,18
"Neuroscience General Neurochemical Techniques","Humana Press","SpringerProtocols","978-0-89603-075-6","",4,1,0,0,1,15,1,0,2,1,2,0,27
"Neuroscience Imaging and Correlative Physicochemical Techniques","Humana Press","SpringerProtocols","978-0-89603-116-6","",0,0,1,0,0,10,0,0,0,0,0,0,11
"Neuroscience In Vitro Neurochemical Techniques","Humana Press","SpringerProtocols","978-0-89603-509-6","",1,2,3,0,1,12,0,0,1,0,0,0,20
"Neuroscience In Vivo Neuromethods","Humana Press","SpringerProtocols","978-0-89603-511-9","",0,0,0,0,1,9,0,1,0,0,0,0,11
"Neuroscience Intracellular Messengers","Humana Press","SpringerProtocols","978-0-89603-207-1","",1,0,0,0,2,14,0,0,2,0,0,0,19
"Neuroscience Lipids and Related Compounds","Humana Press","SpringerProtocols","978-0-89603-124-1","",4,0,3,0,0,10,0,0,0,0,0,0,17
"Neuroscience Molecular Neurobiological Techniques","Humana Press","SpringerProtocols","978-0-89603-140-1","",0,0,1,1,1,10,0,1,0,0,0,1,15
"Neuroscience Mood and Anxiety Related Phenotypes in Mice: Characterization Using Behavioral Tests","Humana Press","SpringerProtocols","978-1-60761-302-2","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Neuroscience NMDA Receptor Protocols","Humana Press","SpringerProtocols","978-0-89603-713-7","",1,2,0,1,0,15,1,0,0,0,0,0,20
"Neuroscience Neural Transplantation Methods","Humana Press","SpringerProtocols","978-0-89603-793-9","",1,0,0,0,0,23,0,0,0,0,0,0,24
"Neuroscience Neurodegeneration Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-612-3","",0,10,1,0,0,25,0,0,0,0,0,1,37
"Neuroscience Neurogenetics: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-990-2","",0,0,0,0,0,34,0,0,0,0,0,0,34
"Neuroscience Neuroinformatics","Humana Press","SpringerProtocols","978-1-58829-720-4","",8,2,0,1,4,23,1,0,0,0,1,0,40
"Neuroscience Neuropeptide Techniques","Humana Press","SpringerProtocols","978-1-58829-468-5","",0,0,0,1,4,11,3,0,0,0,0,0,19
"Neuroscience Neuropeptide Y Protocols","Humana Press","SpringerProtocols","978-0-89603-662-8","",0,0,0,0,0,18,0,0,0,0,0,0,18
"Neuroscience Neurophysiological Techniques: Applications to Neural Systems","Humana Press","SpringerProtocols","978-0-89603-185-2","",1,0,0,0,0,5,0,0,0,1,0,1,8
"Neuroscience Neurophysiological Techniques: Basic Methods and Concepts","Humana Press","SpringerProtocols","978-0-89603-160-9","",0,0,1,0,1,6,0,0,0,0,1,0,9
"Neuroscience Neuroprotection Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-666-5","",1,0,0,1,3,15,2,0,1,1,2,1,27
"Neuroscience Neuropsychology","Humana Press","SpringerProtocols","978-0-89603-133-3","",0,0,0,0,0,11,0,0,0,0,0,0,11
"Neuroscience Neurotransmitter Enzymes","Humana Press","SpringerProtocols","978-0-89603-079-4","",1,0,1,0,0,17,0,0,0,0,1,0,20
"Neuroscience Neurotransmitter Methods","Humana Press","SpringerProtocols","978-0-89603-394-8","",1,0,0,0,1,20,0,0,2,0,5,0,29
"Neuroscience Neurotrophic Factors","Humana Press","SpringerProtocols","978-0-89603-249-1","",0,0,0,0,0,12,0,0,0,0,0,0,12
"Neuroscience Neurotrophin Protocols","Humana Press","SpringerProtocols","978-0-89603-699-4","",0,0,0,1,0,20,1,0,0,0,0,2,24
"Neuroscience Patch-Clamp Analysis: Advanced Techniques - 1","Humana Press","SpringerProtocols","978-1-58829-705-1","",0,2,10,0,0,21,1,0,0,1,1,0,36
"Neuroscience Patch-Clamp Analysis: Advanced Techniques - 2","Humana Press","SpringerProtocols","978-1-58829-013-7","",0,0,3,0,0,27,0,0,1,1,0,0,32
"Neuroscience Patch-Clamp Applications and Protocols","Humana Press","SpringerProtocols","978-0-89603-311-5","",1,2,10,0,0,14,0,0,1,0,0,1,29
"Neuroscience Patch-Clamp Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-698-6","",2,2,3,1,1,19,2,2,0,1,0,0,33
"Neuroscience Peptides","Humana Press","SpringerProtocols","978-0-89603-105-0","",0,0,0,0,0,12,0,0,0,0,1,1,14
"Neuroscience Practical Cell Culture Techniques","Humana Press","SpringerProtocols","978-0-89603-214-9","",0,2,0,0,7,11,0,0,1,1,0,0,22
"Neuroscience Protocols in Molecular Neurobiology","Humana Press","SpringerProtocols","978-0-89603-199-9","",0,1,0,0,0,15,2,1,0,0,0,0,19
"Neuroscience Psychiatric Genetics: Methods and Reviews","Humana Press","SpringerProtocols","978-1-58829-037-3","",0,0,0,0,0,11,0,0,0,0,0,0,11
"Neuroscience Psychopharmacology","Humana Press","SpringerProtocols","978-0-89603-129-6","",0,0,0,0,0,14,0,0,0,0,0,0,14
"Neuroscience Receptor Binding","Humana Press","SpringerProtocols","978-0-89603-078-7","",0,0,0,0,0,15,0,3,2,0,1,0,21
"Neuroscience Receptor Binding Techniques - 1","Humana Press","SpringerProtocols","978-1-58829-420-3","",0,0,0,0,2,11,0,2,0,0,0,0,15
"Neuroscience Receptor Signal Transduction Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-495-2","",0,0,0,0,0,20,0,0,0,0,5,0,25
"Neuroscience Regulatory Protein Modification: Techniques and Protocols","Humana Press","SpringerProtocols","978-0-89603-415-0","",0,1,2,1,0,10,0,0,1,1,1,1,18
"Neuroscience Stroke Genomics: Methods and Reviews","Humana Press","SpringerProtocols","978-1-58829-333-6","",0,0,0,0,0,15,0,0,0,0,0,0,15
"Neuroscience The Blood-Brain Barrier: Biology and Research Protocols","Humana Press","SpringerProtocols","978-1-58829-073-1","",1,1,0,0,5,37,2,0,0,1,0,0,47
"Neuroscience The Neuronal Microenvironment","Humana Press","SpringerProtocols","978-0-89603-115-9","",0,0,0,0,0,15,0,1,0,0,0,0,16
"Neuroscience Transgenic Xenopus: Microinjection Methods and Developmental Neurobiology","Humana Press","SpringerProtocols","978-0-89603-457-0","",0,0,0,0,0,4,0,0,0,0,0,0,4
"Neuroscience Transgenic and Mutant Tools to Model Brain Disorders","Humana Press","SpringerProtocols","978-1-60761-473-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroscience Voltammetric Methods in Brain Systems","Humana Press","SpringerProtocols","978-0-89603-312-2","",0,0,0,0,0,9,0,0,0,0,0,0,9
"Neuroscience fMRI Techniques and Protocols","Humana Press","SpringerProtocols","978-1-60327-918-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pharmacology_Toxicology Apoptosis Methods in Pharmacology and Toxicology: Approaches to Measurement and Quantification","Humana Press","SpringerProtocols","978-0-89603-890-5","",0,0,0,0,1,8,0,0,0,0,0,0,9
"Pharmacology_Toxicology Biomarker Methods in Drug Discovery and Development","Humana Press","SpringerProtocols","978-1-934115-23-7","",1,0,2,1,1,16,1,2,3,0,0,2,29
"Pharmacology_Toxicology Cardiac Drug Development Guide","Humana Press","SpringerProtocols","978-1-58829-097-7","",0,0,1,0,0,20,0,0,0,0,0,0,21
"Pharmacology_Toxicology Cytokines in Human Health: Immunotoxicology, Pathology, and Therapeutic Applications","Humana Press","SpringerProtocols","978-1-58829-467-8","",1,0,1,0,0,19,0,0,0,0,0,0,21
